t;x;y
4.800000000E-1;4.691729323E1;3.699248120E1
5.133333333E-1;6.766917293E1;4.601503759E1
5.466666667E-1;9.293233083E1;5.503759398E1
5.800000000E-1;1.136842105E2;5.593984962E1
6.133333333E-1;1.380451128E2;5.503759398E1
6.466666667E-1;1.606015038E2;4.962406015E1
6.800000000E-1;1.840601504E2;3.789473684E1
7.133333333E-1;2.075187970E2;2.255639098E1
7.466666667E-1;2.291729323E2;3.609022556E0
7.800000000E-1;2.526315789E2;-1.984962406E1
8.133333333E-1;2.751879699E2;-4.872180451E1
8.466666667E-1;2.995488722E2;-8.120300752E1
8.800000000E-1;3.230075188E2;-1.181954887E2
9.133333333E-1;3.455639098E2;-1.606015038E2
9.466666667E-1;3.708270677E2;-2.093233083E2